DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
22/09/23,00:00,249.85,253.1,248.62,251.99,40714900
25/09/23,00:00,252.0,253.49,249.83,252.65,31863690
26/09/23,00:00,252.13,257.17,250.9,255.87,42960400
27/09/23,00:00,256.2,257.85,254.63,256.1,27880630
28/09/23,00:00,256.4,258.25,255.5,257.67,26331160
29/09/23,00:00,258.0,262.59,256.71,260.72,68533310
02/10/23,00:00,261.37,261.92,257.03,258.98,35574470
03/10/23,00:00,258.99,260.5,257.23,259.65,23911430
04/10/23,00:00,259.0,260.39,258.24,259.53,18571620
05/10/23,00:00,260.7,261.39,258.26,259.38,23501620
06/10/23,00:00,259.77,263.4,257.86,262.93,32001280
09/10/23,00:00,263.0,265.97,263.0,265.25,45447720
10/10/23,00:00,264.89,265.18,257.0,263.0,34001290
11/10/23,00:00,263.3,263.99,259.5,260.21,29495790
12/10/23,00:00,260.0,264.5,259.66,264.5,27549160
13/10/23,00:00,264.89,265.04,262.7,263.51,18408670
16/10/23,00:00,264.0,269.2,263.51,268.15,53723180
17/10/23,00:00,268.3,271.97,266.91,270.0,51214360
18/10/23,00:00,270.0,271.19,266.11,267.9,40380530
19/10/23,00:00,267.13,271.0,266.28,268.65,33532880
20/10/23,00:00,268.5,270.3,266.5,269.8,32879730
23/10/23,00:00,270.45,274.1,269.65,270.1,62432160
24/10/23,00:00,270.0,272.06,268.62,271.27,28029860
25/10/23,00:00,271.5,274.96,270.53,273.73,41830970
26/10/23,00:00,274.11,276.0,269.12,269.9,59497750
27/10/23,00:00,269.93,271.98,266.8,269.7,49779630
30/10/23,00:00,269.9,271.55,268.6,269.89,33345990
31/10/23,00:00,270.0,270.5,266.87,268.35,26210450
01/11/23,00:00,268.29,270.3,267.6,269.68,20609480
02/11/23,00:00,270.0,270.98,268.5,269.06,25751530
03/11/23,00:00,269.07,269.78,267.2,268.54,20981280
06/11/23,00:00,269.0,273.87,268.62,273.42,29274160
07/11/23,00:00,273.01,274.78,272.2,273.31,32275170
08/11/23,00:00,273.64,278.35,273.28,278.15,58032670
09/11/23,00:00,278.6,278.85,276.02,276.65,28430630
10/11/23,00:00,276.99,281.3,276.6,280.19,44643290
13/11/23,00:00,280.4,284.8,280.32,283.97,45887770
14/11/23,00:00,283.7,283.88,280.54,280.87,40484810
15/11/23,00:00,280.87,283.93,278.51,282.89,41837690
16/11/23,00:00,282.4,283.69,279.56,279.7,24696600
17/11/23,00:00,279.7,282.5,278.66,281.6,31322320
20/11/23,00:00,281.96,284.2,281.61,282.91,25291010
21/11/23,00:00,282.3,283.82,281.66,282.79,19099390
22/11/23,00:00,283.12,286.67,282.85,286.16,47296890
23/11/23,00:00,286.16,287.77,285.04,286.19,27724080
24/11/23,00:00,286.49,287.5,285.11,286.85,26067870
27/11/23,00:00,287.4,289.0,278.88,282.33,79146090
28/11/23,00:00,282.4,282.51,277.32,279.91,45507410
29/11/23,00:00,279.36,280.56,276.2,276.8,29820830
30/11/23,00:00,276.7,278.65,272.75,277.5,55873540
01/12/23,00:00,277.0,277.98,273.55,273.97,31660970
04/12/23,00:00,273.6,274.95,270.52,270.96,37700740
05/12/23,00:00,271.98,279.65,270.54,279.62,46892570
06/12/23,00:00,279.92,280.79,266.83,267.58,100020030
07/12/23,00:00,267.62,270.44,263.06,265.12,63564530
08/12/23,00:00,266.0,268.23,263.72,265.16,35364310
11/12/23,00:00,265.17,266.47,254.81,256.89,77668070
12/12/23,00:00,256.79,262.88,255.05,257.6,63932170
13/12/23,00:00,257.6,261.39,256.5,260.45,29836400
14/12/23,00:00,261.4,262.75,255.58,256.64,40549660
15/12/23,00:00,256.6,268.91,256.6,268.21,84668740
18/12/23,00:00,268.93,270.44,266.54,268.4,51602470
19/12/23,00:00,268.38,269.71,265.0,267.35,38287810
20/12/23,00:00,267.51,269.1,266.2,266.61,31094000
21/12/23,00:00,266.4,266.87,263.5,265.19,33301420
22/12/23,00:00,266.06,271.9,265.37,271.3,58724860
25/12/23,00:00,271.72,273.85,270.05,271.08,38115690
26/12/23,00:00,271.0,272.89,270.0,271.9,22658320
27/12/23,00:00,271.9,272.59,270.85,271.08,17214050
28/12/23,00:00,270.92,272.48,268.52,271.74,29439730
29/12/23,00:00,272.19,272.59,270.55,270.82,20810540
03/01/24,00:00,271.9,274.7,271.0,274.56,20586020
